#Thu Aug 30 19:45:37 EDT 2018
DangerZone\:Bucket=175
DangerZone\:Durability\ Scroll\ IV=227
DangerZone\:Charcoal\ Stick=182
DangerZone\:Fireball=181
DangerZone\:Cooked\ Goose=60
DangerZone\:Mermaid\ Tiara=158
DangerZone\:Platinum\ Helmet=151
DangerZone\:Accuracy\ Scroll\ II=215
DangerZone\:Platinum\ Chestplate=152
DangerZone\:Cooked\ Fish=64
DangerZone\:Bloodstone=40
DangerZone\:Tin\ Helmet=143
DangerZone\:Mermaid\ Trophy=103
DangerZone\:Tin\ Sword=16
DangerZone\:Cherries=69
DangerZone\:Spawn\ Ghost=106
DangerZone\:Peach=67
DangerZone\:Spawn\ Butterfly=105
DangerZone\:Platinum\ Pickaxe=27
DangerZone\:Stone\ Axe=8
DangerZone\:Platinum\ Shovel=29
DangerZone\:Sign=180
DangerZone\:Silver\ Pickaxe=22
DangerZone\:Auto-Fence\ Key=172
DangerZone\:Tin\ Shovel=19
DangerZone\:Spawn\ Another\ Fish=122
DangerZone\:Silver\ Boots=150
DangerZone\:Wooden\ Pickaxe=2
DangerZone\:Door=179
DangerZone\:Poison\ 3=203
DangerZone\:Poison\ 2=201
DangerZone\:Radish=65
DangerZone\:Poison\ 1=199
DangerZone\:Spawn\ Rat=108
DangerZone\:Gosling\ Trophy=81
DangerZone\:Spawn\ MagLev\ Cart=49
DangerZone\:Copper\ Chestplate=140
DangerZone\:Water\ Bucket=176
DangerZone\:Copper\ Pickaxe=12
DangerZone\:Puffer\ Fish\ Spikes=53
DangerZone\:Dead\ Bug=70
DangerZone\:The\ Count\ Trophy=88
DangerZone\:Drone\ Frame=239
DangerZone\:Skeletorus\ Trophy=84
DangerZone\:Slowness\ 3=191
DangerZone\:Scuba\ Tanks=157
DangerZone\:Slowness\ 2=189
DangerZone\:Tin=32
DangerZone\:Slowness\ 1=187
DangerZone\:Anteater\ Trophy=85
DangerZone\:Rice=66
